type,label
http://www.wikidata.org/entity/Q1002697,periodical
http://www.wikidata.org/entity/Q1002697,kausijulkaisu
http://www.wikidata.org/entity/Q1002697,Periodikum
http://www.wikidata.org/entity/Q1002697,periodiek
http://www.wikidata.org/entity/Q1004,Comic
http://www.wikidata.org/entity/Q1004,stripverhaal
http://www.wikidata.org/entity/Q1004,Strip
http://www.wikidata.org/entity/Q1004,comics
http://www.wikidata.org/entity/Q1004,sarjakuva
http://www.wikidata.org/entity/Q100575647,fotomechanische afdruk
http://www.wikidata.org/entity/Q100575647,photomechanical print
http://www.wikidata.org/entity/Q100575647,photomechanischer Druck
http://www.wikidata.org/entity/Q1007870,art gallery
http://www.wikidata.org/entity/Q1007870,galerie
http://www.wikidata.org/entity/Q1007870,Kunstgalerie
http://www.wikidata.org/entity/Q1007870,taidegalleria
http://www.wikidata.org/entity/Q1007870,umetniška galerija
http://www.wikidata.org/entity/Q101072,definitie
http://www.wikidata.org/entity/Q101072,opredelitev
http://www.wikidata.org/entity/Q101072,määritelmä
http://www.wikidata.org/entity/Q101072,Definition
http://www.wikidata.org/entity/Q101072,definition
http://www.wikidata.org/entity/Q101244523,Gymnasium
http://www.wikidata.org/entity/Q101244523,lukio
http://www.wikidata.org/entity/Q101244523,upper secondary school
http://www.wikidata.org/entity/Q101352,sukunimi
http://www.wikidata.org/entity/Q101352,priimek
http://www.wikidata.org/entity/Q101352,family name
http://www.wikidata.org/entity/Q101352,familienaam
http://www.wikidata.org/entity/Q101352,Familienname
http://www.wikidata.org/entity/Q101401,bell
http://www.wikidata.org/entity/Q101401,Glocke
http://www.wikidata.org/entity/Q101401,kello
http://www.wikidata.org/entity/Q101401,klok
http://www.wikidata.org/entity/Q101401,zvon
http://www.wikidata.org/entity/Q101687,Oltar
http://www.wikidata.org/entity/Q101687,alttari
http://www.wikidata.org/entity/Q101687,Altar
http://www.wikidata.org/entity/Q101687,altar
http://www.wikidata.org/entity/Q101687,altaar
http://www.wikidata.org/entity/Q1021106,Bürgerhaus
http://www.wikidata.org/entity/Q1021106,herenhuis
http://www.wikidata.org/entity/Q1021106,town house
http://www.wikidata.org/entity/Q1021645,Bürogebäude
http://www.wikidata.org/entity/Q1021645,kantoorgebouw
http://www.wikidata.org/entity/Q1021645,office building
http://www.wikidata.org/entity/Q1021645,pisarniška stavba
http://www.wikidata.org/entity/Q1021645,toimistorakennus
http://www.wikidata.org/entity/Q10260870,marxistische Strömung
http://www.wikidata.org/entity/Q10260870,Marxist school of thought
http://www.wikidata.org/entity/Q1027825,koraalikirja
http://www.wikidata.org/entity/Q1027825,Choralbuch
http://www.wikidata.org/entity/Q1027825,choral book
http://www.wikidata.org/entity/Q10283556,depot
http://www.wikidata.org/entity/Q10283556,Bahnbetriebswerk
http://www.wikidata.org/entity/Q10283556,vaunuhalli
http://www.wikidata.org/entity/Q10283556,motive power depot
http://www.wikidata.org/entity/Q103076,Drehbuch
http://www.wikidata.org/entity/Q103076,elokuvakäsikirjoitus
http://www.wikidata.org/entity/Q103076,Scenarij
http://www.wikidata.org/entity/Q103076,scenario
http://www.wikidata.org/entity/Q103076,screenplay
http://www.wikidata.org/entity/Q10376408,matemaattinen merkki
http://www.wikidata.org/entity/Q10376408,matematični simbol
http://www.wikidata.org/entity/Q10376408,mathematical symbol
http://www.wikidata.org/entity/Q10376408,mathematisches Symbol
http://www.wikidata.org/entity/Q10376408,wiskundig symbool
http://www.wikidata.org/entity/Q10424544,uimahuone
http://www.wikidata.org/entity/Q1043639,gay bar
http://www.wikidata.org/entity/Q1043639,gay bar
http://www.wikidata.org/entity/Q1043639,homobaari
http://www.wikidata.org/entity/Q1043639,Schwulenbar
http://www.wikidata.org/entity/Q104438958,lost painting
http://www.wikidata.org/entity/Q104438958,Verschollene Gemälde
http://www.wikidata.org/entity/Q104531230,plot type
http://www.wikidata.org/entity/Q104531230,plottype
http://www.wikidata.org/entity/Q1046088,Ruhmeshalle
http://www.wikidata.org/entity/Q1046088,kunniagalleria
http://www.wikidata.org/entity/Q1046088,hram slavnih
http://www.wikidata.org/entity/Q1046088,hall of fame
http://www.wikidata.org/entity/Q1046088,hall of fame
http://www.wikidata.org/entity/Q10460934,artificial hill
http://www.wikidata.org/entity/Q10460934,keinotekoinen mäki
http://www.wikidata.org/entity/Q10460934,Künstlicher Hügel
http://www.wikidata.org/entity/Q10460934,kunstmatige heuvel
http://www.wikidata.org/entity/Q104690760,kivikirkko
http://www.wikidata.org/entity/Q104690760,stone church
http://www.wikidata.org/entity/Q1047113,vakgebied
http://www.wikidata.org/entity/Q1047113,specialty
http://www.wikidata.org/entity/Q1047113,specialnost
http://www.wikidata.org/entity/Q1047113,Fachgebiet
http://www.wikidata.org/entity/Q1047113,erikoisalue
http://www.wikidata.org/entity/Q104713301,linocut plate
http://www.wikidata.org/entity/Q104713301,linoleumplaat
http://www.wikidata.org/entity/Q10480682,agrarische bouwconstructie
http://www.wikidata.org/entity/Q10480682,agricultural structure
http://www.wikidata.org/entity/Q10480682,kmetijska zgradba
http://www.wikidata.org/entity/Q10480682,Landwirtschaftsgebäude
http://www.wikidata.org/entity/Q10480682,maatalousrakennus
http://www.wikidata.org/entity/Q1050259,catalogue raisonné
http://www.wikidata.org/entity/Q1050259,catalogue raisonné
http://www.wikidata.org/entity/Q1050259,catalogue raisonné
http://www.wikidata.org/entity/Q1050259,catalogue raisonné
http://www.wikidata.org/entity/Q10513727,kettingbrug
http://www.wikidata.org/entity/Q10513727,chain bridge
http://www.wikidata.org/entity/Q10513727,Ketjuriippusilta
http://www.wikidata.org/entity/Q10513727,Kettenbrücke
http://www.wikidata.org/entity/Q1051620,causerie
http://www.wikidata.org/entity/Q1051620,Causerie
http://www.wikidata.org/entity/Q1051620,pakina
http://www.wikidata.org/entity/Q1051620,causerie
http://www.wikidata.org/entity/Q105420,Anthologie
http://www.wikidata.org/entity/Q105420,anthology
http://www.wikidata.org/entity/Q105420,antologia
http://www.wikidata.org/entity/Q105420,antologija
http://www.wikidata.org/entity/Q105420,bloemlezing
http://www.wikidata.org/entity/Q10553236,lakiehdotukset
http://www.wikidata.org/entity/Q10553236,proposed law
http://www.wikidata.org/entity/Q105543609,glasbena kompozicija
http://www.wikidata.org/entity/Q105543609,muzikaal werk/compositie
http://www.wikidata.org/entity/Q105543609,musikalisches Werk/Komposition
http://www.wikidata.org/entity/Q105543609,musiikkiteos/sävellys
http://www.wikidata.org/entity/Q105543609,musical work/composition
http://www.wikidata.org/entity/Q105681016,condominium
http://www.wikidata.org/entity/Q105681016,condominium
http://www.wikidata.org/entity/Q105681016,Wohnanlage
http://www.wikidata.org/entity/Q105722957,
http://www.wikidata.org/entity/Q105731,sulku
http://www.wikidata.org/entity/Q105731,sluis
http://www.wikidata.org/entity/Q105731,lock
http://www.wikidata.org/entity/Q105731,Schiffsschleuse
http://www.wikidata.org/entity/Q10590726,video album
http://www.wikidata.org/entity/Q10590726,videoalbum
http://www.wikidata.org/entity/Q10590726,Video-Album
http://www.wikidata.org/entity/Q10590726,videoalbumi
http://www.wikidata.org/entity/Q1059324,academisch ziekenhuis
http://www.wikidata.org/entity/Q1059324,Universitätsklinikum
http://www.wikidata.org/entity/Q1059324,university hospital
http://www.wikidata.org/entity/Q1059324,yliopistollinen sairaala
http://www.wikidata.org/entity/Q10594991,natuurgebied
http://www.wikidata.org/entity/Q10594991,Naturgebiet
http://www.wikidata.org/entity/Q10594991,nature area
http://www.wikidata.org/entity/Q1060829,concertgebouw
http://www.wikidata.org/entity/Q1060829,concert hall
http://www.wikidata.org/entity/Q1060829,koncertna dvorana
http://www.wikidata.org/entity/Q1060829,konserttitalo
http://www.wikidata.org/entity/Q1060829,Konzerthaus
http://www.wikidata.org/entity/Q1061403,holotype
http://www.wikidata.org/entity/Q1061403,holotype
http://www.wikidata.org/entity/Q1061403,Holotypus
http://www.wikidata.org/entity/Q1061403,Holotyyppi
http://www.wikidata.org/entity/Q106256780,individual copy of a video artwork
http://www.wikidata.org/entity/Q106256780,videoexemplaar
http://www.wikidata.org/entity/Q1063010,Karakterikappale
http://www.wikidata.org/entity/Q1063010,character piece
http://www.wikidata.org/entity/Q1063010,Charakterstück
http://www.wikidata.org/entity/Q10631691,katholieke bedevaartsplaats
http://www.wikidata.org/entity/Q10631691,Wallfahrtskirche
http://www.wikidata.org/entity/Q10631691,Catholic pilgrimage church
http://www.wikidata.org/entity/Q106482879,Standfigur
http://www.wikidata.org/entity/Q1065252,pension
http://www.wikidata.org/entity/Q1065252,pension
http://www.wikidata.org/entity/Q1065252,Pension
http://www.wikidata.org/entity/Q1065252,pensionaatti
http://www.wikidata.org/entity/Q106574351,cruise terminal
http://www.wikidata.org/entity/Q106574351,Kreuzfahrt-Terminal
http://www.wikidata.org/entity/Q1066288,figurine
http://www.wikidata.org/entity/Q1066288,Statuette
http://www.wikidata.org/entity/Q1066288,statueta
http://www.wikidata.org/entity/Q1066288,figurine
http://www.wikidata.org/entity/Q1066288,Figuriini
http://www.wikidata.org/entity/Q10666342,album
http://www.wikidata.org/entity/Q1066997,Pohjapato
http://www.wikidata.org/entity/Q1066997,stuw
http://www.wikidata.org/entity/Q1066997,Wehr
http://www.wikidata.org/entity/Q1066997,weir
http://www.wikidata.org/entity/Q10672946,seurahuone
http://www.wikidata.org/entity/Q107194469,fountain statue
http://www.wikidata.org/entity/Q1072166,theehuis
http://www.wikidata.org/entity/Q1072166,teehuone
http://www.wikidata.org/entity/Q1072166,tea house
http://www.wikidata.org/entity/Q1072166,Teehaus
http://www.wikidata.org/entity/Q107338575,sculptural set
http://www.wikidata.org/entity/Q107356781,laulutyyppi
http://www.wikidata.org/entity/Q107356781,Liedtyp
http://www.wikidata.org/entity/Q107356781,song type
http://www.wikidata.org/entity/Q107356781,soort lied
http://www.wikidata.org/entity/Q107357104,danstype
http://www.wikidata.org/entity/Q107357104,tanssilaji
http://www.wikidata.org/entity/Q107357104,Tanztyp
http://www.wikidata.org/entity/Q107357104,type of dance
http://www.wikidata.org/entity/Q107461121,gildebord
http://www.wikidata.org/entity/Q107461121,gildebord
http://www.wikidata.org/entity/Q1076052,mala šola
http://www.wikidata.org/entity/Q1076052,Vorschule
http://www.wikidata.org/entity/Q1076052,preschool
http://www.wikidata.org/entity/Q1076486,liikuntapaikka
http://www.wikidata.org/entity/Q1076486,sportaccommodatie
http://www.wikidata.org/entity/Q1076486,Sportstätte
http://www.wikidata.org/entity/Q1076486,sports venue
http://www.wikidata.org/entity/Q1076579,act of parliament
http://www.wikidata.org/entity/Q1076579,act of parliament
http://www.wikidata.org/entity/Q1076579,parlamentarisches Gesetz
http://www.wikidata.org/entity/Q1076579,parlamentarni zakon
http://www.wikidata.org/entity/Q1076968,digitalni mediji
http://www.wikidata.org/entity/Q1076968,digital media
http://www.wikidata.org/entity/Q1076968,digitale media
http://www.wikidata.org/entity/Q1076968,digitaalinen media
http://www.wikidata.org/entity/Q1076968,Digitale Medien
http://www.wikidata.org/entity/Q1078374,huurkazerne
http://www.wikidata.org/entity/Q1078374,Mietskaserne
http://www.wikidata.org/entity/Q1078374,tenement
http://www.wikidata.org/entity/Q1081138,historiallinen paikka
http://www.wikidata.org/entity/Q1081138,historic site
http://www.wikidata.org/entity/Q1081138,historische erfgoedlocatie
http://www.wikidata.org/entity/Q1081138,historische Stätte
http://www.wikidata.org/entity/Q108196115,legal article
http://www.wikidata.org/entity/Q108311108,despatch
http://www.wikidata.org/entity/Q108311108,päiväkäsky
http://www.wikidata.org/entity/Q108325,chapel
http://www.wikidata.org/entity/Q108325,kappeli
http://www.wikidata.org/entity/Q108325,Kapelle
http://www.wikidata.org/entity/Q108325,kapela
http://www.wikidata.org/entity/Q108325,kapel
http://www.wikidata.org/entity/Q108329152,collectie van literaire werken
http://www.wikidata.org/entity/Q108329152,collection of literary works
http://www.wikidata.org/entity/Q108329152,zbirka literarnih del
http://www.wikidata.org/entity/Q108346082,julkaisuryhmä
http://www.wikidata.org/entity/Q108346082,release group
http://www.wikidata.org/entity/Q108428491,ventilatietoren
http://www.wikidata.org/entity/Q108428491,ventilation tower
http://www.wikidata.org/entity/Q10855061,archaeological find
http://www.wikidata.org/entity/Q10855061,arkeologinen löytö
http://www.wikidata.org/entity/Q10855061,archäologischer Fund
http://www.wikidata.org/entity/Q10855061,archeologische vondst
http://www.wikidata.org/entity/Q10870555,Bericht
http://www.wikidata.org/entity/Q10870555,poročilo
http://www.wikidata.org/entity/Q10870555,raportti
http://www.wikidata.org/entity/Q10870555,rapport
http://www.wikidata.org/entity/Q10870555,report
http://www.wikidata.org/entity/Q108804797,periodical volume
http://www.wikidata.org/entity/Q10880526,prosodia
