type, label
http://iflastandards.info/ns/lrm/lrmoo/R10_is_member_of, is member of
http://iflastandards.info/ns/lrm/lrmoo/R11_has_issuing_rule, has issuing rule
http://iflastandards.info/ns/lrm/lrmoo/R15_has_fragment, has fragment
http://iflastandards.info/ns/lrm/lrmoo/R16_created, created
http://iflastandards.info/ns/lrm/lrmoo/R17_created, created
http://iflastandards.info/ns/lrm/lrmoo/R19_created_a_realisation_of, created a realisation of
http://iflastandards.info/ns/lrm/lrmoo/R1_is_logical_successor_of, is logical successor of
http://iflastandards.info/ns/lrm/lrmoo/R24_created, created
http://iflastandards.info/ns/lrm/lrmoo/R27_materialized, materialized
http://iflastandards.info/ns/lrm/lrmoo/R28_produced, produced
http://iflastandards.info/ns/lrm/lrmoo/R29_reproduced_object, reproduced object
http://iflastandards.info/ns/lrm/lrmoo/R2_is_derivative_of, is derivative of
http://iflastandards.info/ns/lrm/lrmoo/R30_reproduced_publication, reproduced publication
http://iflastandards.info/ns/lrm/lrmoo/R35_is_specified_by, is specified by
http://iflastandards.info/ns/lrm/lrmoo/R36_uses_script_conversion, uses script conversion
http://iflastandards.info/ns/lrm/lrmoo/R3_is_realised_in, is realised in
http://iflastandards.info/ns/lrm/lrmoo/R4_embodies, embodies
http://iflastandards.info/ns/lrm/lrmoo/R54_has_language, has language
http://iflastandards.info/ns/lrm/lrmoo/R56_has_related_form, has related form
http://iflastandards.info/ns/lrm/lrmoo/R5_has_component, has component
http://iflastandards.info/ns/lrm/lrmoo/R67_has_part, has part
http://iflastandards.info/ns/lrm/lrmoo/R68_is_inspired_by, is inspired by
http://iflastandards.info/ns/lrm/lrmoo/R69_has_physical_form, has physical form
http://iflastandards.info/ns/lrm/lrmoo/R70_has_dimension, has dimension
http://iflastandards.info/ns/lrm/lrmoo/R71_has_part, has part
http://iflastandards.info/ns/lrm/lrmoo/R73_takes_representative_attribute_from, takes representative attribute from
http://iflastandards.info/ns/lrm/lrmoo/R74_uses_expression_of, uses expression of
http://iflastandards.info/ns/lrm/lrmoo/R75_incorporates, incorporates
http://iflastandards.info/ns/lrm/lrmoo/R76_is_derivative_of, is derivative of
http://iflastandards.info/ns/lrm/lrmoo/R77_accompanies_or_complements, accompanies or complements
http://iflastandards.info/ns/lrm/lrmoo/R78_has_alternate, has alternate
http://iflastandards.info/ns/lrm/lrmoo/R79_has_representative_expression_attribute, has representative expression attribute
http://iflastandards.info/ns/lrm/lrmoo/R7_exemplifies, exemplifies
http://iflastandards.info/ns/lrm/lrmoo/R80_performed, performed
http://iflastandards.info/ns/lrm/lrmoo/R81_recorded, recorded
http://iflastandards.info/ns/lrm/lrmoo/R8_combines, combines
http://www.cidoc-crm.org/cidoc-crm/P100_was_death_of, was death of
http://www.cidoc-crm.org/cidoc-crm/P101_had_as_general_use, had as general use
http://www.cidoc-crm.org/cidoc-crm/P102_has_title, has title
http://www.cidoc-crm.org/cidoc-crm/P103_was_intended_for, was intended for
http://www.cidoc-crm.org/cidoc-crm/P104_is_subject_to, is subject to
