"type","label",
"https://sk.acdh.oeaw.ac.at/types/appellation/date","Date",
"https://sk.acdh.oeaw.ac.at/types/appellation/ed","Edition",
"https://sk.acdh.oeaw.ac.at/types/appellation/num/issue","IssueNumber",
"https://sk.acdh.oeaw.ac.at/types/appellation/num/volume","VolumeNumber",
"https://sk.acdh.oeaw.ac.at/types/appellation/place","PlaceofPublication",
"https://sk.acdh.oeaw.ac.at/types/appellation/title/main","MainTitle",
"https://sk.acdh.oeaw.ac.at/types/appellation/title/sub","Subtitle",
"https://sk.acdh.oeaw.ac.at/types/date/approx","Approximate",
"https://sk.acdh.oeaw.ac.at/types/date/approx","approx",
"https://sk.acdh.oeaw.ac.at/types/event/burial","Burial",
"https://sk.acdh.oeaw.ac.at/types/event/decl-dead","DeclaredDead",
"https://sk.acdh.oeaw.ac.at/types/event/first","InitialEvent(Premiere,FirstOration)",
"https://sk.acdh.oeaw.ac.at/types/event/legal-case","LegalCase",
"https://sk.acdh.oeaw.ac.at/types/event/mentioned","Mentioned",
"https://sk.acdh.oeaw.ac.at/types/event/mentioned","mentioned",
"https://sk.acdh.oeaw.ac.at/types/event/missing","Missing",
"https://sk.acdh.oeaw.ac.at/types/idno/URL","URL",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/ARCHE","ARCHE",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/doiorg101553","doiorg101553",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/dritte-walpurgisnacht","DritteWalpurgisnachtURL",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/fackel","FackelURL",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/geonames","geonames",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/gnd","gnd",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/legalkraus","legalkraus",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/pmb","pmb",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/schnitzler-bahr","schnitzler-bahr",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/schnitzler-briefe","schnitzler-briefe",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/schnitzler-lektueren","schnitzler-lektueren",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/schnitzler-tagebuch","schnitzler-tagebuch",
"https://sk.acdh.oeaw.ac.at/types/idno/URL/sonstiges",,
"https://sk.acdh.oeaw.ac.at/types/idno/URL/viaf",,
"https://sk.acdh.oeaw.ac.at/types/idno/URL/wikidata","wikidata",
"https://sk.acdh.oeaw.ac.at/types/idno/VIAF","VIAF",
"https://sk.acdh.oeaw.ac.at/types/idno/geonames","geonames",
"https://sk.acdh.oeaw.ac.at/types/idno/gnd","gnd",
"https://sk.acdh.oeaw.ac.at/types/idno/pmb","pmb",
"https://sk.acdh.oeaw.ac.at/types/idno/wikidata","wikidata",
"https://sk.acdh.oeaw.ac.at/types/idno/xml-id","xml-id",
"https://sk.acdh.oeaw.ac.at/types/org/orgname","OrganizationName",
"https://sk.acdh.oeaw.ac.at/types/org/orgname/alternative-name","AlternativeOrganizationName",
"https://sk.acdh.oeaw.ac.at/types/org/orgname/full","FullOrganizationName",
"https://sk.acdh.oeaw.ac.at/types/org/orgname/full","full",
"https://sk.acdh.oeaw.ac.at/types/org/orgname/orig-name","OriginalOrganizationName",
"https://sk.acdh.oeaw.ac.at/types/org/orgname/pref","PreferredOrganizationName",
"https://sk.acdh.oeaw.ac.at/types/org/orgname/pref","pref",
"https://sk.acdh.oeaw.ac.at/types/org/orgname/short","ShortOrganizationName",
"https://sk.acdh.oeaw.ac.at/types/org/orgname/short","short",
"https://sk.acdh.oeaw.ac.at/types/person/persname","PersonName",
"https://sk.acdh.oeaw.ac.at/types/person/persname/alt","AlternativePersonName",
"https://sk.acdh.oeaw.ac.at/types/person/persname/alternative-name","AlternativePersonName",
"https://sk.acdh.oeaw.ac.at/types/person/persname/born","BirthName",
"https://sk.acdh.oeaw.ac.at/types/person/persname/divorced","NameafterDivorce",
